taxon_no,orig_no,taxon_name,taxon_rank,orig_name,orig_rank,reference_no,in_529,inferred_reason
377300,91921,Globicephala feres,species,Delphinus feres,species,27688,yes,recombination
378228,378029,Dictyograptus flabelliforme,species,Gorgonia flabelliformis,species,67156,no,unclear (multiple changes)
379243,310490,Alegeinosaurus apicalis,species,Zatrachys apicalis,species,67451,yes,recombination
380582,380581,Jonkeria angusticeps,species,Phoneosuchus angusticeps,species,67683,yes,recombination
381610,168101,Spisula (Hemimactra) hemphillii,species,Spisula hemphillii,species,67956,yes,reassignment (subgenus)
382070,229083,Elampini,subfamily,Elampinae,subfamily,40817,no,spelling variant (correction/misspelling)
382114,382113,Serripedini,subfamily,Serripedini,tribe,62209,yes,rank change
383157,298342,Brachistinae,family,Brachistoidae,family,68236,no,spelling variant (correction/misspelling)
383182,383181,Rotularia tejonensis,species,Spiroglyphus tejonensis,species,74892,yes,recombination
383391,383390,Ficopsis cooperiana,species,Fusus (Hemifusus) cooperii,species,58599,no,unclear (multiple changes)
384113,329169,Brachyura,tribe,Brachyuri,infraorder,12074,yes,rank change
384501,64515,Iguanodon leedsi,species,Camptosaurus leedsi,species,68541,yes,recombination
384502,64521,Iguanodon valdensis,species,Camptosaurus valdensis,species,68541,yes,recombination
384789,384725,Turricula bulwaldana,species,Drillia buwaldana,species,68571,yes,unclear (multiple changes)
384997,384996,Callithrix penicillatus,species,Jacchus penicillatus,species,68644,yes,recombination
385039,383181,Rotularia (Rotularia) tejonensis,species,Spiroglyphus tejonensis,species,74892,yes,recombination
387925,259344,Dendrocystitida,order,Dendrocystitidae,family,67229,no,rank change
387993,84870,Megalosauripodidae,family,Megalosauropodidae,family,69228,no,spelling variant (correction/misspelling)
388947,388946,Carcinoplax antiquus,species,Curtonotus antiquus,species,41705,yes,recombination
388948,286116,Cancer (Curtonotus),subgenus,Curtonotus,genus,41705,no,rank change
389011,50831,Promerycochoerus vantasselensis pygmyus,subspecies,Promerycochoerus pygmyus,species,2265,yes,rank change
389047,389046,Neozanthopsis sonthofenesis,species,Xanthopsis sonthofensis,species,61744,yes,unclear (multiple changes)
